Metric,Score
Micro Precision,0.6029238783397748
Micro Recall,0.7273464423271843
Micro F1,0.659316427783903
Macro Precision,0.5563307493449411
Macro Recall,0.7689204422196693
Macro F1,0.6403566887394477
Hamming Loss,0.1030859049207673
