Metric,Score
Micro Precision,0.7307692307692307
Micro Recall,0.3392857142857143
Micro F1,0.4634146341463415
Macro Precision,0.11608796296296298
Macro Recall,0.07756971022416621
Macro F1,0.0926192187874431
Hamming Loss,0.07857142857142857
