label,true_negative,false_positive,false_negative,true_positive
aggressive_tone,159,14,9,13
hookup_focus,190,0,5,0
negativity,160,22,9,4
sarcasm_cynicism,51,63,2,79
substance_risk,34,82,3,76
incomplete_profile,163,4,16,12
controlling_behavior,187,2,3,3
emotional_manipulation,188,2,0,5
entitlement_superiority,184,4,3,4
poor_conflict_resolution,178,7,2,8
main_character_syndrome,190,4,0,1
dismissive,120,45,7,23
